"Lượt bắt đầu báo cáo","Lượt kết thúc báo cáo","Tên chiến dịch","Lượt phân phối chiến dịch","Kết quả","Chỉ báo kết quả","Chi phí trên mỗi kết quả","Ngân sách nhóm quảng cáo","Loại ngân sách nhóm quảng cáo","Số tiền đã chi tiêu (VND)","Kết thúc","Cài đặt ghi nhận","Lượt mua","Giá trị chuyển đổi từ lượt mua","ROAS (lợi nhuận trên chi tiêu quảng cáo) của lượt mua","Người liên hệ nhắn tin mới","Chi phí trên mỗi người liên hệ nhắn tin mới (VND)","Lượt bắt đầu cuộc trò chuyện qua tin nhắn","Chi phí trên mỗi lượt bắt đầu cuộc trò chuyện qua tin nhắn (VND)","Đơn đặt hàng đã tạo","Đơn đặt hàng đã vận chuyển","Ngày tạo","Người tiếp cận","Lượt hiển thị","Lượt tương tác với bài viết","Tần suất","Lượt click vào liên kết"
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | GIẢI NHIỆT CỰC ĐÃ, VUI HÈ HẾT GA | 30.000 | 10/6 - 15/6",completed,10056,reach,6753.87828162,"Sử dụng ngân sách nhóm quảng cáo",0,67917,2026-06-16,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-06-14,10056,10825,30,1.076472,5
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | CHECK-IN CÁC TỌA ĐỘ PHOTOBOOTH HOT NHẤT | 30.000 | 10/6 - 10/7",completed,94329,reach,7462.29685463,"Sử dụng ngân sách nhóm quảng cáo",0,703911,2026-07-10,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-06-14,94329,123514,65,1.309396,20
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | NIKE END OF SEASON SALE   | 30.000 | 10/6 - 11/6",completed,6633,reach,6242.57500377,"Sử dụng ngân sách nhóm quảng cáo",0,41407,2026-06-15,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-06-14,6633,6633,13,1,3
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | THÔNG BÁO THAY ĐỔI THỜI GIAN CHƯƠNG TRÌNH | 30.000 | 29/6 - 1/7",completed,9172,reach,5314.87134758,"Sử dụng ngân sách nhóm quảng cáo",0,48748,2026-07-01,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-06-29,9172,9593,6,1.045901,1
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | LEVENTS CHÍNH THỨC CÓ MẶT TẠI AEON MALL | 17/7 - 30/7 - Bản sao 2",recently_completed,20524,reach,6683.15143247,"Sử dụng ngân sách nhóm quảng cáo",0,137165,2026-07-22,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-07-17,20524,23820,49,1.160592,18
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | THÁNG 8 NÀY!! 📣 B.DUCK CITYFUNS | 17/7 - 30/7 | 30.000",inactive,29677,reach,6166.89692354,"Sử dụng ngân sách nhóm quảng cáo",0,183015,2026-07-30,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-07-23,29677,33063,32,1.114095,9
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | DỰ ÁN  ""NHẤT QUYẾT KHÔNG ĐỂ | 17/7 - 30/7 | 50.000",active,41734,reach,6738.55848948,"Sử dụng ngân sách nhóm quảng cáo",0,281227,2026-07-30,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-07-23,41734,49178,42,1.178368,5
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | THÁNG 3 – RỘN RÀNG HOẠT ĐỘNG ĐẶC BIỆT | 200.000 | 11/3-30/3",inactive,86955,reach,13197.84946237,"Sử dụng ngân sách nhóm quảng cáo",0,1147619,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-03-11,86955,158719,143,1.8253,124
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | VIỆC LÀM TRAO TAY - CÓ NGAY THU NHẬP HẤP DẪN | 200.000 | 12/3-31/3",inactive,205529,reach,7587.7759343,"Sử dụng ngân sách nhóm quảng cáo",0,1559508,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,3,519836,3,519836,,,2026-03-12,205529,287082,1488,1.396796,227
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | Đồng hành cùng Xanh SM | 50.000 | 3/4-8/4 - Bản sao",inactive,68553,reach,4372.03331729,"Sử dụng ngân sách nhóm quảng cáo",0,299716,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,2,149858,2,149858,,,2026-04-03,68553,74449,83,1.086006,74
